Div,Date,HomeTeam,AwayTeam,ScoreHome,ScoreAway,Winner,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,yellowhome,yellowAway,RedHome,RedAway.
F1,30/09/2016,Rennes,Guingamp,1,0,Rennes,0,0,D,13,6,3,1,10,12,6,2,2,1,0,1
F1,01/10/2016,Caen,Toulouse,1,0,Caen,0,0,D,12,9,3,1,11,17,4,2,1,6,0,0
F1,01/10/2016,Dijon,Montpellier,3,3,N,1,2,A,8,15,6,6,12,12,5,4,2,2,0,0
F1,01/10/2016,Lille,Nancy,1,0,Lille,0,0,D,14,5,4,3,14,12,8,4,2,3,0,0
F1,01/10/2016,Metz,Monaco,0,7,Monaco,0,3,A,14,14,2,9,14,12,7,4,2,1,1,0
F1,01/10/2016,Nantes,Bastia,1,0,Nantes,1,0,H,20,12,8,6,19,9,3,2,4,3,0,0
F1,01/10/2016,Paris SG,Bordeaux,2,0,Paris SG,2,0,H,14,6,7,2,8,9,11,2,1,1,0,0
F1,02/10/2016,Angers,Marseille,1,1,N,0,0,D,17,9,5,2,6,12,3,7,1,0,0,0
F1,02/10/2016,Lyon,St Etienne,2,0,Lyon,1,0,H,14,11,7,3,18,15,7,7,3,1,0,0
F1,02/10/2016,Nice,Lorient,2,1,Nice,1,0,H,8,17,2,4,9,14,3,5,2,3,1,0
F1,14/10/2016,Nice,Lyon,2,0,Nice,1,0,H,16,4,6,3,13,22,1,4,3,3,0,1
F1,14/10/2016,Toulouse,Monaco,3,1,Toulouse,0,1,A,17,4,6,1,14,17,6,1,2,1,0,0,3
F1,15/10/2016,Bastia,Angers,1,2,Angers,1,1,D,12,7,3,3,8,11,6,4,2,0,0,0
F1,15/10/2016,Guingamp,Lille,1,0,Guingamp,1,0,H,13,12,4,3,13,21,7,0,1,0,0,0
F1,15/10/2016,Lorient,Nantes,1,2,Nantes,0,1,A,15,5,5,3,12,9,6,1,4,4,0,0
F1,15/10/2016,Montpellier,Caen,3,2,Montpellier,1,1,D,11,12,7,5,13,6,5,2,0,0,1,0
F1,15/10/2016,Nancy,Paris SG,1,2,Paris SG,0,2,A,6,7,3,3,16,10,4,1,1,1,0,0,10,5
F1,16/10/2016,Marseille,Metz,1,0,Marseille,1,0,H,16,11,6,1,14,10,2,6,1,2,0,0
F1,16/10/2016,Rennes,Bordeaux,1,1,N,1,0,H,15,7,4,1,15,11,8,3,1,2,0,0
F1,16/10/2016,St Etienne,Dijon,1,1,N,0,1,A,17,11,3,3,11,8,10,4,1,3,0,1
F1,21/10/2016,Monaco,Montpellier,6,2,Monaco,1,1,D,14,9,9,3,14,10,6,2,2,0,0,0
F1,22/10/2016,Angers,Toulouse,0,0,N,0,0,D,11,6,3,2,14,12,4,2,2,4,0,0
F1,22/10/2016,Bordeaux,Nancy,1,1,N,0,0,D,12,11,2,3,12,16,5,4,1,3,0,0
F1,22/10/2016,Dijon,Lorient,1,0,Dijon,0,0,D,13,15,3,5,7,14,5,5,1,2,0,0
F1,22/10/2016,Lille,Bastia,2,1,Lille,0,0,D,17,5,8,1,17,20,8,4,3,1,0,0
F1,22/10/2016,Lyon,Guingamp,1,3,Guingamp,1,0,H,18,6,6,5,13,20,9,5,1,3,0,0
F1,22/10/2016,Nantes,Rennes,1,2,Rennes,1,0,H,9,7,4,3,12,8,3,0,1,3,0,0
F1,23/10/2016,Caen,St Etienne,0,2,St Etienne,0,0,D,9,13,1,6,7,13,4,5,1,1,0,0
